Site ,Position,Habitat,Camera,Latitude,Longitude,,,,,
L5,9,Lowland,L57,34.653253,-86.687147,,,,,
L5,10,Lowland,L58,34.653759,-86.68714,,,,,
L5,11,Lowland,L59,34.654148,-86.6877693,,,,,
L5,12,Lowland,L60,34.654417,-86.687409,,,,,
L6,1,Lowland,L61,34.64991,-86.612326,,,,,
L6,2,Lowland,L62,34.650447,-86.612341,,,,,
L6,3,Lowland,L63,34.651046,-86.612377,,,,,
L6,4,Lowland,L64,34.651644,-86.612152,,,,,
L6,5,Lowland,L65,34.652211,-86.612337,,,,,
L6,6,Lowland,L66,34.6527787,-86.61237,,,,,
L6,7,Lowland,L67,34.649845,-86.606916,,,,,
L6,8,Lowland,L68,34.650476,-86.606887,,,,,
L6,9,Lowland,L69,34.651061,-86.606912,,,,,
L6,10,Lowland,L70,34.651622,-86.606842,,,,,
L6,11,Lowland,L71,34.652215,-86.606862,,,,,
L6,12,Lowland,L72,34.652807,-86.606841,,,,,
