"","PatchArea.layer","PatchArea.level","PatchArea.class","PatchArea.id","PatchArea.metric","PatchArea.value","PatchCore.layer","PatchCore.level","PatchCore.class","PatchCore.id","PatchCore.metric","PatchCore.value","PatchEnn.layer","PatchEnn.level","PatchEnn.class","PatchEnn.id","PatchEnn.metric","PatchEnn.value","PatchPerim.layer","PatchPerim.level","PatchPerim.class","PatchPerim.id","PatchPerim.metric","PatchPerim.value","PatchPara.layer","PatchPara.level","PatchPara.class","PatchPara.id","PatchPara.metric","PatchPara.value","PatchCai.layer","PatchCai.level","PatchCai.class","PatchCai.id","PatchCai.metric","PatchCai.value","PatchCircle.layer","PatchCircle.level","PatchCircle.class","PatchCircle.id","PatchCircle.metric","PatchCircle.value","PatchContig.layer","PatchContig.level","PatchContig.class","PatchContig.id","PatchContig.metric","PatchContig.value","PatchFrac.layer","PatchFrac.level","PatchFrac.class","PatchFrac.id","PatchFrac.metric","PatchFrac.value","PatchGyrate.layer","PatchGyrate.level","PatchGyrate.class","PatchGyrate.id","PatchGyrate.metric","PatchGyrate.value","PatchNcore.layer","PatchNcore.level","PatchNcore.class","PatchNcore.id","PatchNcore.metric","PatchNcore.value","PatchShape.layer","PatchShape.level","PatchShape.class","PatchShape.id","PatchShape.metric","PatchShape.value"
"33",1,"patch",1,33,"area",84.06,1,"patch",1,33,"core",62.82,1,"patch",1,33,"enn",60,1,"patch",1,33,"perim",9780,1,"patch",1,33,"para",0.0116345467523198,1,"patch",1,33,"cai",74.7323340471092,1,"patch",1,33,"circle",0.616224845168765,1,"patch",1,33,"contig",0.899000713775874,1,"patch",1,33,"frac",1.14380209087749,1,"patch",1,33,"gyrate",433.602844171401,1,"patch",1,33,"ncore",3,1,"patch",1,33,"shape",2.66676146334003
"34",1,"patch",1,34,"area",0.09,1,"patch",1,34,"core",0,1,"patch",1,34,"enn",182.482875908947,1,"patch",1,34,"perim",120,1,"patch",1,34,"para",0.133333333333333,1,"patch",1,34,"cai",0,1,"patch",1,34,"circle",0.363380227632419,1,"patch",1,34,"contig",0,1,"patch",1,34,"frac",1,1,"patch",1,34,"gyrate",0,1,"patch",1,34,"ncore",0,1,"patch",1,34,"shape",1
"35",1,"patch",1,35,"area",0.18,1,"patch",1,35,"core",0,1,"patch",1,35,"enn",120,1,"patch",1,35,"perim",180,1,"patch",1,35,"para",0.1,1,"patch",1,35,"cai",0,1,"patch",1,35,"circle",0.490704182105935,1,"patch",1,35,"contig",0.166666666666667,1,"patch",1,35,"frac",1.01571374512186,1,"patch",1,35,"gyrate",15,1,"patch",1,35,"ncore",0,1,"patch",1,35,"shape",1.06066017177982
"36",1,"patch",1,36,"area",0.09,1,"patch",1,36,"core",0,1,"patch",1,36,"enn",201.246117974981,1,"patch",1,36,"perim",120,1,"patch",1,36,"para",0.133333333333333,1,"patch",1,36,"cai",0,1,"patch",1,36,"circle",0.363380227632419,1,"patch",1,36,"contig",0,1,"patch",1,36,"frac",1,1,"patch",1,36,"gyrate",0,1,"patch",1,36,"ncore",0,1,"patch",1,36,"shape",1
"37",1,"patch",1,37,"area",2.52,1,"patch",1,37,"core",0.54,1,"patch",1,37,"enn",60,1,"patch",1,37,"perim",1020,1,"patch",1,37,"para",0.0404761904761905,1,"patch",1,37,"cai",21.4285714285714,1,"patch",1,37,"circle",0.754133053430451,1,"patch",1,37,"contig",0.654761904761905,1,"patch",1,37,"frac",1.09353382321648,1,"patch",1,37,"gyrate",83.5254615224306,1,"patch",1,37,"ncore",3,1,"patch",1,37,"shape",1.60634901028922
"38",1,"patch",1,38,"area",8.55,1,"patch",1,38,"core",4.32,1,"patch",1,38,"enn",60,1,"patch",1,38,"perim",2160,1,"patch",1,38,"para",0.0252631578947368,1,"patch",1,38,"cai",50.5263157894737,1,"patch",1,38,"circle",0.70498108109795,1,"patch",1,38,"contig",0.784210526315789,1,"patch",1,38,"frac",1.10803427933672,1,"patch",1,38,"gyrate",149.912375347705,1,"patch",1,38,"ncore",2,1,"patch",1,38,"shape",1.84676103375328
"39",1,"patch",1,39,"area",0.18,1,"patch",1,39,"core",0,1,"patch",1,39,"enn",182.482875908947,1,"patch",1,39,"perim",180,1,"patch",1,39,"para",0.1,1,"patch",1,39,"cai",0,1,"patch",1,39,"circle",0.490704182105935,1,"patch",1,39,"contig",0.166666666666667,1,"patch",1,39,"frac",1.01571374512186,1,"patch",1,39,"gyrate",15,1,"patch",1,39,"ncore",0,1,"patch",1,39,"shape",1.06066017177982
"40",1,"patch",1,40,"area",0.27,1,"patch",1,40,"core",0,1,"patch",1,40,"enn",174.928556845359,1,"patch",1,40,"perim",240,1,"patch",1,40,"para",0.0888888888888889,1,"patch",1,40,"cai",0,1,"patch",1,40,"circle",0.618028136579451,1,"patch",1,40,"contig",0.222222222222222,1,"patch",1,40,"frac",1.03641081074333,1,"patch",1,40,"gyrate",20,1,"patch",1,40,"ncore",0,1,"patch",1,40,"shape",1.15470053837925
"41",1,"patch",1,41,"area",0.09,1,"patch",1,41,"core",0,1,"patch",1,41,"enn",60,1,"patch",1,41,"perim",120,1,"patch",1,41,"para",0.133333333333333,1,"patch",1,41,"cai",0,1,"patch",1,41,"circle",0.363380227632419,1,"patch",1,41,"contig",0,1,"patch",1,41,"frac",1,1,"patch",1,41,"gyrate",0,1,"patch",1,41,"ncore",0,1,"patch",1,41,"shape",1
"42",1,"patch",1,42,"area",0.36,1,"patch",1,42,"core",0,1,"patch",1,42,"enn",67.0820393249937,1,"patch",1,42,"perim",300,1,"patch",1,42,"para",0.0833333333333333,1,"patch",1,42,"cai",0,1,"patch",1,42,"circle",0.490704182105935,1,"patch",1,42,"contig",0.333333333333333,1,"patch",1,42,"frac",1.0545004329565,1,"patch",1,42,"gyrate",22.9616460960662,1,"patch",1,42,"ncore",0,1,"patch",1,42,"shape",1.25
"43",1,"patch",1,43,"area",0.09,1,"patch",1,43,"core",0,1,"patch",1,43,"enn",241.867732448957,1,"patch",1,43,"perim",120,1,"patch",1,43,"para",0.133333333333333,1,"patch",1,43,"cai",0,1,"patch",1,43,"circle",0.363380227632419,1,"patch",1,43,"contig",0,1,"patch",1,43,"frac",1,1,"patch",1,43,"gyrate",0,1,"patch",1,43,"ncore",0,1,"patch",1,43,"shape",1
"44",1,"patch",1,44,"area",0.18,1,"patch",1,44,"core",0,1,"patch",1,44,"enn",67.0820393249937,1,"patch",1,44,"perim",180,1,"patch",1,44,"para",0.1,1,"patch",1,44,"cai",0,1,"patch",1,44,"circle",0.490704182105935,1,"patch",1,44,"contig",0.166666666666667,1,"patch",1,44,"frac",1.01571374512186,1,"patch",1,44,"gyrate",15,1,"patch",1,44,"ncore",0,1,"patch",1,44,"shape",1.06066017177982
"45",1,"patch",1,45,"area",0.54,1,"patch",1,45,"core",0,1,"patch",1,45,"enn",84.8528137423857,1,"patch",1,45,"perim",420,1,"patch",1,45,"para",0.0777777777777778,1,"patch",1,45,"cai",0,1,"patch",1,45,"circle",0.793528722475379,1,"patch",1,45,"contig",0.277777777777778,1,"patch",1,45,"frac",1.08305255507972,1,"patch",1,45,"gyrate",45,1,"patch",1,45,"ncore",0,1,"patch",1,45,"shape",1.42886901662352
"46",1,"patch",1,46,"area",0.09,1,"patch",1,46,"core",0,1,"patch",1,46,"enn",180,1,"patch",1,46,"perim",120,1,"patch",1,46,"para",0.133333333333333,1,"patch",1,46,"cai",0,1,"patch",1,46,"circle",0.363380227632419,1,"patch",1,46,"contig",0,1,"patch",1,46,"frac",1,1,"patch",1,46,"gyrate",0,1,"patch",1,46,"ncore",0,1,"patch",1,46,"shape",1
"47",1,"patch",1,47,"area",0.09,1,"patch",1,47,"core",0,1,"patch",1,47,"enn",60,1,"patch",1,47,"perim",120,1,"patch",1,47,"para",0.133333333333333,1,"patch",1,47,"cai",0,1,"patch",1,47,"circle",0.363380227632419,1,"patch",1,47,"contig",0,1,"patch",1,47,"frac",1,1,"patch",1,47,"gyrate",0,1,"patch",1,47,"ncore",0,1,"patch",1,47,"shape",1
"48",1,"patch",1,48,"area",0.27,1,"patch",1,48,"core",0,1,"patch",1,48,"enn",60,1,"patch",1,48,"perim",240,1,"patch",1,48,"para",0.0888888888888889,1,"patch",1,48,"cai",0,1,"patch",1,48,"circle",0.522535170724314,1,"patch",1,48,"contig",0.277777777777778,1,"patch",1,48,"frac",1.03641081074333,1,"patch",1,48,"gyrate",19.6211650579089,1,"patch",1,48,"ncore",0,1,"patch",1,48,"shape",1.15470053837925
"49",1,"patch",1,49,"area",0.72,1,"patch",1,49,"core",0,1,"patch",1,49,"enn",60,1,"patch",1,49,"perim",600,1,"patch",1,49,"para",0.0833333333333333,1,"patch",1,49,"cai",0,1,"patch",1,49,"circle",0.745352091052967,1,"patch",1,49,"contig",0.333333333333333,1,"patch",1,49,"frac",1.12828814268356,1,"patch",1,49,"gyrate",46.7929981030665,1,"patch",1,49,"ncore",0,1,"patch",1,49,"shape",1.76776695296637
